date,hour,temperature
2012-10-20,20,283.65
2012-10-20,21,283.65
2012-10-20,22,282.23
2012-10-20,23,282.09
2012-10-21,0,281.2
2012-10-21,1,281.29
2012-10-21,2,280.98
2012-10-21,3,280.98
2012-10-21,4,280.37
2012-10-21,5,280.03
2012-10-21,6,279.76625
2012-10-21,7,279.5025
2012-10-21,8,279.23875
2012-10-21,9,278.975
2012-10-21,10,278.71125
2012-10-21,11,278.4475
2012-10-21,12,278.18375
2012-10-21,13,277.92
2012-10-21,14,278.846666667
2012-10-21,15,279.773333333
2012-10-21,16,280.7
2012-10-21,17,281.626666667
2012-10-21,18,282.553333333
2012-10-21,19,283.48
2012-10-21,20,284.406666667
2012-10-21,21,285.333333333
2012-10-21,22,286.26
2012-10-21,23,285.69
2012-10-22,0,284.5425
2012-10-22,1,283.395
2012-10-22,2,282.2475
2012-10-22,3,281.1
2012-10-22,4,280.15
2012-10-22,5,279.23
2012-10-22,6,278.7
2012-10-22,7,278.47
2012-10-22,8,278.02
2012-10-22,9,277.4
2012-10-22,10,277.34
2012-10-22,11,277.22
2012-10-22,12,279.63
2012-10-22,13,282.04
2012-10-22,14,283.88
2012-10-22,15,285.72
2012-10-22,16,287.56
2012-10-22,17,289.21
2012-10-22,18,290.59
2012-10-22,19,291.37
2012-10-22,20,292.01
2012-10-22,21,292.39
2012-10-22,22,291.73
2012-10-22,23,289.69
2012-10-23,0,288.76
2012-10-23,1,288.27
2012-10-23,2,287.6
2012-10-23,3,286.73
2012-10-23,4,286.32
2012-10-23,5,285.89
2012-10-23,6,286.04
2012-10-23,7,285.96
2012-10-23,8,285.45
2012-10-23,9,284.99
2012-10-23,10,285.31
2012-10-23,11,285.55
2012-10-23,12,286.09
2012-10-23,13,287.33
2012-10-23,14,288.78
2012-10-23,15,290.03
2012-10-23,16,290.69
2012-10-23,17,289.69
2012-10-23,18,289.14
2012-10-23,19,289.75
2012-10-23,20,290.29
2012-10-23,21,290.85
2012-10-23,22,291.12
2012-10-23,23,291.26
2012-10-24,0,291.24
2012-10-24,1,291.19
2012-10-24,2,290.99
2012-10-24,3,290.79
2012-10-24,4,290.28
2012-10-24,5,289.76
2012-10-24,6,289.6
2012-10-24,7,288.52
2012-10-24,8,288.04
2012-10-24,9,287.67
2012-10-24,10,287.88
2012-10-24,11,287.95
2012-10-24,12,287.82
2012-10-24,13,287.49
2012-10-24,14,287.88
2012-10-24,15,288.42
2012-10-24,16,289.39
2012-10-24,17,290.34
2012-10-24,18,292.0
2012-10-24,19,293.49
2012-10-24,20,293.19
2012-10-24,21,292.59
2012-10-24,22,292.15
2012-10-24,23,291.69
2012-10-25,0,291.07
2012-10-25,1,290.79
2012-10-25,2,290.9
2012-10-25,3,290.65
2012-10-25,4,290.9
2012-10-25,5,290.87
2012-10-25,6,290.87
2012-10-25,7,290.21
2012-10-25,8,289.99
2012-10-25,9,289.62
2012-10-25,10,289.42
2012-10-25,11,289.9
2012-10-25,12,289.96
2012-10-25,13,290.45
2012-10-25,14,292.095
2012-10-25,15,293.74
2012-10-25,16,295.06
2012-10-25,17,296.39
2012-10-25,18,297.57
2012-10-25,19,298.76
2012-10-25,20,298.69
2012-10-25,21,299.0
2012-10-25,22,298.53
2012-10-25,23,297.07
2012-10-26,0,296.23
2012-10-26,1,295.83
2012-10-26,2,295.18
2012-10-26,3,294.98
2012-10-26,4,294.26
2012-10-26,5,293.82
2012-10-26,6,293.25
2012-10-26,7,292.88
2012-10-26,8,292.8
2012-10-26,9,292.48
2012-10-26,10,292.31
2012-10-26,11,292.09
2012-10-26,12,291.72
2012-10-26,13,291.86
2012-10-26,14,292.72
2012-10-26,15,294.45
2012-10-26,16,295.78
2012-10-26,17,296.58
2012-10-26,18,297.1
2012-10-26,19,297.36
2012-10-26,20,297.54
2012-10-26,21,297.41
2012-10-26,22,297.14
2012-10-26,23,291.72
2012-10-27,0,285.95
2012-10-27,1,283.0
2012-10-27,2,281.87
2012-10-27,3,280.84
2012-10-27,4,280.3
2012-10-27,5,280.12
2012-10-27,6,279.89
2012-10-27,7,278.91
2012-10-27,8,278.03
2012-10-27,9,277.65
2012-10-27,10,277.08
2012-10-27,11,276.63
2012-10-27,12,276.17
2012-10-27,13,276.24
2012-10-27,14,277.33
2012-10-27,15,277.83
2012-10-27,16,280.26
2012-10-27,17,281.36
2012-10-27,18,282.23
2012-10-27,19,282.24
2012-10-27,20,282.47
2012-10-27,21,282.28
2012-10-27,22,281.24
2012-10-27,23,280.53
2012-10-28,0,280.06
2012-10-28,1,280.0
2012-10-28,2,279.92
2012-10-28,3,279.63
2012-10-28,4,279.19
2012-10-28,5,277.92
2012-10-28,6,277.53
2012-10-28,7,276.98
2012-10-28,8,276.14
2012-10-28,9,275.99
2012-10-28,10,276.33
2012-10-28,11,275.62
2012-10-28,12,275.35
2012-10-28,13,275.5
2012-10-28,14,277.43
2012-10-28,15,279.11
2012-10-28,16,280.19
2012-10-28,17,280.79
2012-10-28,18,281.26
2012-10-28,19,281.37
2012-10-28,20,281.04
2012-10-28,21,280.57
2012-10-28,22,279.52
2012-10-28,23,278.75
2012-10-29,0,278.43
2012-10-29,1,278.43
2012-10-29,2,278.52
2012-10-29,3,278.91
2012-10-29,4,279.11
2012-10-29,5,278.68
2012-10-29,6,277.93
2012-10-29,7,276.87
2012-10-29,8,277.98
2012-10-29,9,278.39
2012-10-29,10,279.3
2012-10-29,11,279.29
2012-10-29,12,279.58
2012-10-29,13,279.84
2012-10-29,14,280.4
2012-10-29,15,280.99
2012-10-29,16,281.64
2012-10-29,17,281.77
2012-10-29,18,281.65
2012-10-29,19,281.78
2012-10-29,20,282.03
2012-10-29,21,281.57
2012-10-29,22,280.91
2012-10-29,23,280.31
2012-10-30,0,279.85
2012-10-30,1,279.66
2012-10-30,2,279.69
2012-10-30,3,279.52
2012-10-30,4,279.11
2012-10-30,5,278.09
2012-10-30,6,276.53
2012-10-30,7,276.63
2012-10-30,8,276.14
2012-10-30,9,276.23
2012-10-30,10,276.47
2012-10-30,11,277.09
2012-10-30,12,276.95
2012-10-30,13,277.55
2012-10-30,14,279.27
2012-10-30,15,281.29
2012-10-30,16,282.09
2012-10-30,17,282.54
2012-10-30,18,282.78
2012-10-30,19,282.68
2012-10-30,20,282.4
2012-10-30,21,281.94
2012-10-30,22,281.36
2012-10-30,23,280.95
2012-10-31,0,280.5
2012-10-31,1,280.38
2012-10-31,2,279.97
2012-10-31,3,279.64
2012-10-31,4,279.45
2012-10-31,5,278.7
2012-10-31,6,278.02
2012-10-31,7,277.57
2012-10-31,8,277.41
2012-10-31,9,277.33
2012-10-31,10,277.41
2012-10-31,11,277.41
2012-10-31,12,277.6
2012-10-31,13,277.6
2012-10-31,14,277.87
2012-10-31,15,278.35
2012-10-31,16,279.39
2012-10-31,17,280.13
2012-10-31,18,280.44
2012-10-31,19,280.73
2012-10-31,20,280.8
2012-10-31,21,280.61
2012-10-31,22,280.34
2012-10-31,23,280.26
2012-11-01,0,280.31
2012-11-01,1,280.1
2012-11-01,2,279.61
2012-11-01,3,279.46
2012-11-01,4,278.84
2012-11-01,5,278.15
2012-11-01,6,277.65
2012-11-01,7,276.96
2012-11-01,8,276.26
2012-11-01,9,275.74
2012-11-01,10,275.71
2012-11-01,11,275.11
2012-11-01,12,274.73
2012-11-01,13,274.8
2012-11-01,14,275.39
2012-11-01,15,276.65
2012-11-01,16,277.7
2012-11-01,17,279.09
2012-11-01,18,280.05
2012-11-01,19,280.99
2012-11-01,20,281.25
2012-11-01,21,281.39
2012-11-01,22,281.57
2012-11-01,23,281.3
2012-11-02,0,281.27
2012-11-02,1,280.41
2012-11-02,2,279.72
2012-11-02,3,278.86
2012-11-02,4,278.0
2012-11-02,5,276.3
2012-11-02,6,276.04
2012-11-02,7,275.83
2012-11-02,8,275.51
2012-11-02,9,275.21
2012-11-02,10,274.89
2012-11-02,11,275.2
2012-11-02,12,275.11
2012-11-02,13,275.99
2012-11-02,14,277.93
2012-11-02,15,280.15
2012-11-02,16,281.88
2012-11-02,17,282.98
2012-11-02,18,283.95
2012-11-02,19,284.38
2012-11-02,20,284.6
2012-11-02,21,284.19
2012-11-02,22,283.72
2012-11-02,23,282.44
2012-11-03,0,281.11
2012-11-03,1,280.87
2012-11-03,2,280.98
2012-11-03,3,280.58
2012-11-03,4,280.37
2012-11-03,5,279.76
2012-11-03,6,278.83
2012-11-03,7,277.95
2012-11-03,8,277.04
2012-11-03,9,276.35
2012-11-03,10,275.67
2012-11-03,11,275.51
2012-11-03,12,274.66
2012-11-03,13,274.87
2012-11-03,14,276.33
2012-11-03,15,278.1
2012-11-03,16,279.81
2012-11-03,17,280.79
2012-11-03,18,281.45
2012-11-03,19,281.49
2012-11-03,20,281.08
2012-11-03,21,281.14
2012-11-03,22,280.02
2012-11-03,23,278.68
2012-11-04,0,278.03
2012-11-04,1,277.95
2012-11-04,2,277.53
2012-11-04,3,277.94
2012-11-04,4,278.15
2012-11-04,5,278.95
2012-11-04,6,278.45
2012-11-04,7,278.68
2012-11-04,8,278.15
2012-11-04,9,278.15
2012-11-04,10,278.515
2012-11-04,11,278.88
2012-11-04,12,278.72
2012-11-04,13,278.66
2012-11-04,14,279.22
2012-11-04,15,279.29
2012-11-04,16,279.6
2012-11-04,17,279.57
2012-11-04,18,279.8
2012-11-04,19,279.44
2012-11-04,20,279.8
2012-11-04,21,279.53
2012-11-04,22,279.07
2012-11-04,23,278.78
2012-11-05,0,278.76
2012-11-05,1,278.56
2012-11-05,2,278.37
2012-11-05,3,278.04
2012-11-05,4,277.57
2012-11-05,5,276.15
2012-11-05,6,275.33
2012-11-05,7,275.11
2012-11-05,8,274.37
2012-11-05,9,274.29
2012-11-05,10,274.87
2012-11-05,11,275.16
2012-11-05,12,275.44
2012-11-05,13,275.24
2012-11-05,14,275.71
2012-11-05,15,277.35
2012-11-05,16,278.95
2012-11-05,17,280.37
2012-11-05,18,280.86
2012-11-05,19,281.52
2012-11-05,20,281.37
2012-11-05,21,280.36
2012-11-05,22,279.35
2012-11-05,23,279.35
2012-11-06,0,279.35
2012-11-06,1,279.35
2012-11-06,2,279.35
2012-11-06,3,279.35
2012-11-06,4,279.35
2012-11-06,5,279.35
2012-11-06,6,279.35
2012-11-06,7,278.92
2012-11-06,8,278.92
2012-11-06,9,278.92
2012-11-06,10,278.92
2012-11-06,11,278.92
2012-11-06,12,278.92
2012-11-06,13,278.75
2012-11-06,14,278.75
2012-11-06,15,278.75
2012-11-06,16,278.75
2012-11-06,17,278.966666667
2012-11-06,18,279.183333333
2012-11-06,19,279.4
2012-11-06,20,279.25
2012-11-06,21,279.12
2012-11-06,22,278.84
2012-11-06,23,277.83
2012-11-07,0,277.55
2012-11-07,1,277.13
2012-11-07,2,276.49
2012-11-07,3,275.9
2012-11-07,4,274.59
2012-11-07,5,273.77
2012-11-07,6,274.49
2012-11-07,7,274.39
2012-11-07,8,274.13
2012-11-07,9,274.11
2012-11-07,10,273.98
2012-11-07,11,273.07
2012-11-07,12,272.75
2012-11-07,13,273.2
2012-11-07,14,275.5
2012-11-07,15,277.63
2012-11-07,16,278.95
2012-11-07,17,278.86
2012-11-07,18,279.0
2012-11-07,19,278.14
2012-11-07,20,277.61
2012-11-07,21,277.41
2012-11-07,22,277.34
2012-11-07,23,277.1
2012-11-08,0,277.08
2012-11-08,1,276.96
2012-11-08,2,276.96
2012-11-08,3,277.01
2012-11-08,4,277.22
2012-11-08,5,277.36
2012-11-08,6,277.25
2012-11-08,7,277.34
2012-11-08,8,277.57
2012-11-08,9,277.65
2012-11-08,10,277.79
2012-11-08,11,277.83
2012-11-08,12,277.9
2012-11-08,13,278.24
2012-11-08,14,278.51
2012-11-08,15,279.56
2012-11-08,16,280.21
2012-11-08,17,280.21
2012-11-08,18,280.92
2012-11-08,19,281.06
2012-11-08,20,281.26
2012-11-08,21,281.32
2012-11-08,22,280.97
2012-11-08,23,280.22
2012-11-09,0,279.87
2012-11-09,1,279.65
2012-11-09,2,279.65
2012-11-09,3,279.21
2012-11-09,4,279.28
2012-11-09,5,279.14
2012-11-09,6,279.52
2012-11-09,7,279.45
2012-11-09,8,279.39
2012-11-09,9,279.3
2012-11-09,10,279.3
2012-11-09,11,279.28
